lesson_id,source_item_id,target_item_id,source,target,label,source_lesson_item,target_lesson_item
m2-l1,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Function,Domain,True,,
m2-l1,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Function,Range,True,,
m2-l1,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Function,Composition,True,,
m2-l1,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Function,Inverse,True,,
m2-l1,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Polynomial,Rational Function,True,,
m2-l1,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Trigonometric Function,Trigonometric Identity,True,,
m2-l1,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Exponential Function,Logarithm,True,,
m2-l1,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Logarithm,Natural Logarithm,True,,
m2-l1,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Exponential Function,Euler's Formula,True,,
m2-l1,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Imaginary Number,Euler's Formula,True,,
m2-l1,m2-l1-reading-How Grading Works Reading-1,m2-l1-reading-How Grading Works Reading-1,Core Homework,Functions Exam,True,,
m2-l1,m2-l1-reading-How Grading Works Reading-1,m2-l1-reading-How Grading Works Reading-1,Assignment,Core Homework,True,,
m2-l1,m2-l1-video-Functions-0,m2-l2-video-Exponentials Video Resume . Click to resume-0,Exponential Function,Complex Number,True,,
m2-l1,m2-l2-video-Exponentials Video Resume . Click to resume-0,m2-l1-video-Functions-0,Factorial Notation,Exponential Function,True,,
m2-l1,m2-l1-video-Functions-0,m2-l2-video-Exponentials Video Resume . Click to resume-0,Polynomial,Differentiation,True,,
m2-l1,m2-l2-video-Exponentials Video Resume . Click to resume-0,m2-l1-video-Functions-0,Differentiation,Exponential Function,True,,
m2-l1,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Euler's Formula,Exponential Function,True,,
m2-l1,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Trigonometric Function,Euler's Formula,True,,
m2-l1,m2-l2-video-Exponentials Video Resume . Click to resume-0,m2-l1-video-Functions-0,Complex Input,Euler's Formula,True,,
m2-l1,m2-l2-video-Exponentials Video Resume . Click to resume-0,m2-l1-video-Functions-0,Infinite Sum,Exponential Function,True,,
m2-l1,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Polynomial,Exponential Function,True,,
m2-l1,m2-l2-video-BONUS!-1,m2-l1-video-Functions-0,Series,Polynomial,True,,
m2-l1,m2-l1-video-Functions-0,m2-l2-video-BONUS!-1,Polynomial,Expression,True,,
m2-l1,m2-l2-video-BONUS!-1,m2-l2-video-BONUS!-1,Expression,Graph,True,,
m2-l1,m2-l2-video-BONUS!-1,m2-l1-video-Functions-0,Factorial,Polynomial,True,,
m2-l1,m2-l1-video-Functions-0,m2-l2-video-BONUS!-1,Polynomial,Approximation,True,,
m2-l1,m2-l2-video-BONUS!-1,m2-l2-video-BONUS!-1,Maclaurin Series,Taylor Series,True,,
m2-l1,m2-l2-video-BONUS!-1,m2-l2-video-BONUS!-1,Infinite Series,Term,True,,
m2-l1,m3-l1-video-Taylor Series-0,m2-l1-video-Functions-0,Constant,Polynomial,True,,
m2-l1,m3-l1-video-Taylor Series-0,m2-l2-video-BONUS!-1,Coefficient,Series,True,,
m2-l1,m2-l2-video-Exponentials Video Resume . Click to resume-0,m2-l2-video-BONUS!-1,Derivative,Taylor Series,True,,
m2-l1,m2-l2-video-BONUS!-1,m2-l1-video-Functions-0,Taylor Series,Exponential Function,True,,
m2-l1,m2-l2-video-BONUS!-1,m2-l1-video-Functions-0,Taylor Series,Trigonometric Function,True,,
m2-l1,m2-l1-video-Functions-0,m2-l2-video-BONUS!-1,Polynomial,Taylor Series,True,,
m2-l1,m2-l1-video-Functions-0,m2-l2-video-BONUS!-1,Function,Series,True,,
m2-l1,m2-l2-video-BONUS!-1,m2-l1-video-Functions-0,Series,Function,True,,
m2-l1,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Polynomial,Function,True,,
m2-l1,m2-l1-video-Functions-0,m3-l1-video-Taylor Series-0,Exponential Function,Bessel Function,True,,
m2-l1,m2-l1-video-Functions-0,m3-l1-video-Taylor Series-0,Trigonometric Function,Bessel Function,True,,
m2-l2,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Function,Domain,True,,
m2-l2,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Function,Range,True,,
m2-l2,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Function,Composition,True,,
m2-l2,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Function,Inverse,True,,
m2-l2,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Polynomial,Rational Function,True,,
m2-l2,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Trigonometric Function,Trigonometric Identity,True,,
m2-l2,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Exponential Function,Logarithm,True,,
m2-l2,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Logarithm,Natural Logarithm,True,,
m2-l2,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Exponential Function,Euler's Formula,True,,
m2-l2,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Imaginary Number,Euler's Formula,True,,
m2-l2,m2-l1-reading-How Grading Works Reading-1,m2-l1-reading-How Grading Works Reading-1,Core Homework,Functions Exam,True,,
m2-l2,m2-l1-reading-How Grading Works Reading-1,m2-l1-reading-How Grading Works Reading-1,Assignment,Core Homework,True,,
m2-l2,m2-l1-video-Functions-0,m2-l2-video-Exponentials Video Resume . Click to resume-0,Exponential Function,Complex Number,True,,
m2-l2,m2-l2-video-Exponentials Video Resume . Click to resume-0,m2-l1-video-Functions-0,Factorial Notation,Exponential Function,True,,
m2-l2,m2-l1-video-Functions-0,m2-l2-video-Exponentials Video Resume . Click to resume-0,Polynomial,Differentiation,True,,
m2-l2,m2-l2-video-Exponentials Video Resume . Click to resume-0,m2-l1-video-Functions-0,Differentiation,Exponential Function,True,,
m2-l2,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Euler's Formula,Exponential Function,True,,
m2-l2,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Trigonometric Function,Euler's Formula,True,,
m2-l2,m2-l2-video-Exponentials Video Resume . Click to resume-0,m2-l1-video-Functions-0,Complex Input,Euler's Formula,True,,
m2-l2,m2-l2-video-Exponentials Video Resume . Click to resume-0,m2-l1-video-Functions-0,Infinite Sum,Exponential Function,True,,
m2-l2,m2-l1-video-Functions-0,m2-l1-video-Functions-0,Polynomial,Exponential Function,True,,
m2-l2,m2-l2-video-BONUS!-1,m2-l1-video-Functions-0,Series,Polynomial,True,,
m2-l2,m2-l1-video-Functions-0,m2-l2-video-BONUS!-1,Polynomial,Expression,True,,
m2-l2,m2-l2-video-BONUS!-1,m2-l2-video-BONUS!-1,Expression,Graph,True,,
m2-l2,m2-l2-video-BONUS!-1,m2-l1-video-Functions-0,Factorial,Polynomial,True,,
m2-l2,m2-l1-video-Functions-0,m2-l2-video-BONUS!-1,Polynomial,Approximation,True,,
m2-l2,m2-l2-video-BONUS!-1,m2-l2-video-BONUS!-1,Maclaurin Series,Taylor Series,True,,
m2-l2,m2-l2-video-BONUS!-1,m2-l2-video-BONUS!-1,Infinite Series,Term,True,,
m2-l2,m3-l1-video-Taylor Series-0,m2-l1-video-Functions-0,Constant,Polynomial,True,,
m2-l2,m3-l1-video-Taylor Series-0,m2-l2-video-BONUS!-1,Coefficient,Series,True,,
m2-l2,m2-l2-video-Exponentials Video Resume . Click to resume-0,m2-l2-video-BONUS!-1,Derivative,Taylor Series,True,,
m2-l2,m2-l2-video-BONUS!-1,m2-l1-video-Functions-0,Taylor Series,Exponential Function,True,,
m2-l2,m2-l2-video-BONUS!-1,m2-l1-video-Functions-0,Taylor Series,Trigonometric Function,True,,
